ARGUMENT,TYPE 
"5] Advocate for Applicant has relied upon following citations and contended that, for attracting offence punishable under Section 498­A of Indian Penal Code, the given parameters are to be shown.",PREMISE
"1] Manju Ram Kalita Vs. State of Assam, reported in 2009(2) B Cr C 692.",PREMISE
"2] Naresh R. Chikankar Vs. State of Maharashtra, reported in 2010(0) ALL MR 3517.",PREMISE
6] Learned APP Mr. Satpute appeared for Respondent/ Stated and filed report of investigation officer.,PREMISE
"He submits that, now offence punishable under Section 307 of Indian Penal Code also came to be added in the matter as Applicant attempted to commit murder of Informant by pressing her throat.",PREMISE
Investigation with the Applicant is necessary.,PREMISE
Medical examination of Applicant is must.,PREMISE
"There is recovery of leather belt by which Applicant had assaulted victim, is pending.",PREMISE
"Hence, he prays for custody of the Applicant and rejection of the application.",CONCLUSION
7] Learned Adv. M. T. Karche appeared for Informant.,PREMISE
"He submits that, Informant has given specific dates of ill­treatment and narrated the nature of incidents.",PREMISE
"MLC papers also prima facie, shown the injuries on Informant.",PREMISE
Gold ornaments of Informant are also with Applicant.,PREMISE
"Therefore, recovery is pending against Applicant.",CONCLUSION
"Police did not entertain her FIR timely, therefore, there is delay in the FIR.",PREMISE
He relied upon following citations and prays for rejection of the application.,PREMISE
"1] Vikas Nassa Vs. State of Haryana, reported in 2016(3) RCR (Criminal) 613.",PREMISE
"2] Sunny Soin Vs. State of Punjab, reported in 2013(7) RCR (Criminal) 35.",PREMISE
"8] Heard learned Adv. S. V. Kolhatkar for Applicant, learned Adv. M. T. Karche for Informant and learned APP.",PREMISE
Perused the FIR and Papers and citations.,PREMISE
"9] Prima facie, Informant is alleged about the incidents of assault dated 08/08/2018 and 09/08/2018.",PREMISE
The medical papers dated 10/08/2018 are placed on record and injuries in nature abrasion and contusion are shown on person of Informant.,PREMISE
"But prima facie, no major injury has been shown.",PREMISE
Informant is also alleged about unnatural sex by Applicant.,PREMISE
Investigation officer wants custody of the Applicant for his medical examination in this regard.,PREMISE
"But, Informant herself has stated that, as the incident is of August 2018 and more than three months period had been lapsed.",PREMISE
She did not find medical examination necessary in this regard.,PREMISE
"In such situation, custody of the Applicant for medical examination is also not seen to be necessary.",PREMISE
10] The facts in the aforesaid citations placed on record by Assistant to learned APP are different.,PREMISE
"Moreover, it is a discretionary relief and Court needs to consider facts and circumstances of each case independently.",PREMISE
"11] As such, prima facie, though investigation with the Applicant is necessary, applicant is having roots in the society and without any criminal antecedents.",PREMISE
"So, immediate custody of the Applicant is not necessary.",PREMISE
"By putting suitable conditions on Applicant, the purpose will be served.",PREMISE
"Hence, I prefer to pass following Order.",CONCLUSION
2] The crime has been registered on report of Sneha Barate.,PREMISE
"She alleged that, she knows Applicant as he helped her in performing love marriage with Santosh Bhavsar.",PREMISE
"However, after marriage with Bhavsar, she came to know that, he is criminal minded.",PREMISE
"Therefore, in 2010 she obtained divorce.",CONCLUSION
"But during that period, there was friendship between Applicant and her.",PREMISE
Applicant assured her for marriage.,PREMISE
"Therefore, she started residing with him like his wife.",CONCLUSION
"She alleged that, in the year 2014, as there was no marriage between Applicant and her, the first abortion was taken place due to insistence of Applicant.",PREMISE
In 2016 she married with Applicant.,PREMISE
"She again got pregnant, but Applicant made her to abort.",PREMISE
"She alleged that, Applicant used to ill­treat her by abusing, threatening and beating.",PREMISE
"Thereafter, Applicant made her to reside with her parents at Shukrawar Peth, Pune and started avoiding her.",PREMISE
"Thereafter, she came to know that, Applicant has performed marriage with co­accused Snehal and concealed this fact from her.",PREMISE
"As such, she lodged report against Applicant and co­accused.",CONCLUSION
"3] Applicant submits that, police arrested him on 03/01/2019.",PREMISE
Investigation is over.,PREMISE
"Therefore, his further custody is not necessary.",CONCLUSION
"He submits that, the allegations are baseless as Informant was already married and not capable to perform marriage with Applicant legally.",PREMISE
She is alleging the incidents of abortions of year 2014 and 2016.,PREMISE
"But the FIR has been lodged in 2018, therefore, there is delay.",PREMISE
"So far as, allegations of bigamy are concern, those are subject matter of trial.",PREMISE
But custody of the Applicant is not necessary.,PREMISE
